20210411_9
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
10	5	載譽歸來(C215)	史卓豐	羅富全	123	1164	5	5	[8][8][10]	1:09.06	26
11	13	夢想成金(D358)	潘明輝	羅富全	123	1174	6	6-1/2	[4][6][11]	1:09.29	9.6
12	10	二郎(C019)	薛恩	告東尼	123	1143	1	7-1/2	[10][11][12]	1:09.45	111

20210405_8
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	8	快快有(E183)	何澤堯	羅富全	117	1051	5	-	[6][7][1]	1:09.17	2.7
2	10	青心星(D099)	莫雷拉	方嘉柏	115	1214	11	1/2	[1][1][2]	1:09.27	5.7
3	7	威威心得(B052)	潘明輝	蘇保羅	115	1088	2	3/4	[10][9][3]	1:09.30	15
4	2	大雷暴(D369)	巴度	韋達	130	1091	3	1-1/4	[4][4][4]	1:09.36	7.2
5	6	英明勇將(T348)	波健士	呂健威	118	1087	1	1-3/4	[8][8][5]	1:09.47	43
6	3	風雨駒(C376)	周俊樂	告東尼	120	1128	7	2-1/4	[9][10][6]	1:09.53	12
7	5	迎有(E254)	馬雅	大衛希斯	119	1182	10	2-3/4	[5][5][7]	1:09.62	37
8	9	好大大(C425)	巫顯東	鄭俊偉	112	1289	9	4-1/4	[3][3][8]	1:09.86	37
9	4	安錦(E227)	梁家俊	文家良	121	1018	8	6-3/4	[11][11][9]	1:10.24	156
10	11	團結力量(D005)	田泰安	姚本輝	114	1203	4	7-1/4	[7][6][10]	1:10.33	8

20210405_7
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	馬爾代夫(D329)	薛恩	賀賢	132	1128	3	-	[13][12][9][1]	1:34.60	13
2	6	影疾(C466)	莫雷拉	葉楚航	126	1126	6	1/2	[9][8][6][2]	1:34.70	4.9
3	4	玩具達人(D203)	周俊樂	姚本輝	124	1032	1	1-3/4	[5][6][4][3]	1:34.90	7.1
4	1	川河明駒(D237)	陳嘉熙	方嘉柏	126	1141	4	2-3/4	[4][5][3][4]	1:35.05	8.5
5	14	天地同心(B030)	田泰安	徐雨石	114	1100	14	4	[3][4][5][5]	1:35.22	36
6	10	合夥年代(C534)	潘明輝	蘇偉賢	115	1109	10	4	[12][13][13][6]	1:35.23	41
7	3	連連行運(C441)	潘頓	蔡約翰	131	1118	9	4	[14][14][12][7]	1:35.23	4.7
8	8	優達星(C356)	馬雅	葉楚航	118	1157	13	4	[6][7][8][8]	1:35.23	117
9	5	新威煌(E095)	梁家俊	蘇保羅	129	1245	5	6	[2][1][1][9]	1:35.55	4
10	7	龍城皇將(D246)	彭國年	苗禮德	120	1055	7	6-3/4	[8][9][10][10]	1:35.69	62
11	12	加州明雋(B363)	楊明綸	告東尼	116	1127	2	12-1/2	[1][3][2][11]	1:36.61	24
12	13	美活人生(D398)	巴度	沈集成	115	1083	12	15-1/4	[11][10][11][12]	1:37.02	11
13	9	跑得寶寶(E179)	何澤堯	呂健威	118	1381	11	19-3/4	[10][2][7][13]	1:37.76	121

20210405_6
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	1	紅旺(C341)	莫雷拉	葉楚航	133	1182	1	-	[1][1][1][1]	1:21.53	1.6
2	11	虹鴻(D098)	潘頓	賀賢	120	1195	6	頸位	[2][4][3][2]	1:21.59	4
3	2	雄龍(C191)	巴度	蘇偉賢	131	1127	3	1-3/4	[7][8][8][3]	1:21.80	10
4	7	樂天派(E166)	薛恩	大衛希斯	121	1084	5	2-3/4	[9][9][6][4]	1:21.97	11
5	3	嘉才(D196)	彭國年	呂健威	126	1139	2	3-1/2	[5][5][4][5]	1:22.10	42
6	5	俏芳華(E106)	何澤堯	羅富全	123	1055	9	3-1/2	[10][10][9][6]	1:22.10	138
7	10	金鼓雷鳴(E042)	周俊樂	韋達	114	1029	4	6	[4][7][5][7]	1:22.47	176
8	12	皆大開心(D364)	馬雅	容天鵬	118	1146	10	6-1/2	[12][12][10][8]	1:22.57	44
9	4	勁叻仔(D513)	黃皓楠	鄭俊偉	120	1046	12	7	[14][14][11][9]	1:22.67	161
10	13	文武先鋒(B049)	田泰安	霍利時	117	1276	7	9	[3][2][2][10]	1:22.96	19
11	6	叻蝦皇(D378)	波健士	蔡約翰	121	1102	13	12-3/4	[11][11][13][11]	1:23.55	88
12	14	愛逍遙(D190)	楊明綸	徐雨石	113	1037	14	13	[6][6][7][12]	1:23.59	46
13	9	尚方寶駒(D502)	梁家俊	方嘉柏	120	1178	11	13-3/4	[13][13][12][13]	1:23.73	159
14	8	牛精麒麟(E286)	潘明輝	告東尼	118	1183	8	51-1/4	[8][3][14][14]	1:29.72	175

20210405_5
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	5	帝豪寶寶(A050)	潘頓	沈集成	125	1223	1	-	[6][6][1]	1:09.38	4.1
2	11	大紅蜂(E297)	莫雷拉	方嘉柏	116	1178	8	頸位	[4][3][2]	1:09.43	1.9
3	9	十二馬(D280)	田泰安	蘇偉賢	117	1142	3	1-1/2	[3][4][3]	1:09.64	4
4	2	威進駒(A326)	波健士	呂健威	130	1138	4	2	[8][7][4]	1:09.71	78
5	3	弛曜風(C028)	薛恩	羅富全	130	1116	5	2-1/4	[10][10][5]	1:09.74	17
6	4	夢幻人生(C166)	陳嘉熙	文家良	119	1149	9	2-3/4	[1][1][6]	1:09.81	145
7	10	飛天劍(C463)	楊明綸	大衛希斯	116	1065	2	4	[7][9][7]	1:10.00	39
8	1	終身美麗(E275)	郭能	告東尼	133	1145	10	4	[2][2][8]	1:10.01	52
9	7	標準猴王(B244)	何澤堯	韋達	122	1208	7	4-1/4	[5][5][9]	1:10.05	20
10	8	忠誠駒(E130)	潘明輝	羅富全	119	1157	11	6-1/2	[9][8][10]	1:10.44	43

20210405_4
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	10	齊心同行(E287)	潘頓	大衛希斯	125	1176	11	-	[1][1][1]	1:09.61	1.9
2	12	叻叻精彩(D217)	田泰安	韋達	120	1149	9	1-3/4	[13][8][2]	1:09.87	6.4
3	1	戰鬥英雄(D050)	陳嘉熙	方嘉柏	126	1083	8	2-1/2	[6][5][3]	1:09.99	12
4	6	對衡之星(E082)	史卓豐	蘇保羅	125	1180	2	2-3/4	[9][7][4]	1:10.06	12
5	5	得勝多(E161)	郭能	姚本輝	125	1044	3	3-1/2	[11][11][5]	1:10.15	20
6	9	添有運(E268)	波健士	蘇偉賢	125	1193	4	4-1/2	[8][10][6]	1:10.32	77
7	3	美麗歡呼(D436)	莫雷拉	蔡約翰	125	1159	12	5-1/4	[4][3][7]	1:10.44	8
